Address,OLP,FLP,Sale_price,PPSF,List_date,Sale_date,SF,Beds,Full Baths,Half Baths,Tax_year_prior_sale,Days_on,QV
132 Linden Ave,529000,529000,641000,,7/15/20,9/18/20,1728,5,1,0,"14,120",,
47 Ridgewood Ave,1050000,1050000,1050000,,7/7/20,9/15/20,3658,6,3,2,27331,,
25 Lincoln St,999000,979000,989000,,7/16/20,9/11/20,3488,5,3,2,"28,443",,
87 Douglas Rd,899000,899000,1110000,,7/29/20,9/11/20,3195,5,3,2,"27,018",,
495 Ridgewood Ave,999000,999000,1250000,,7/1/20,9/10/20,4610,5,4,2,"39,129",,
278 Linden Ave,745000,745000,889000,,7/14/20,9/2/20,2465,4,2,1,"18,033",,
2 Mitchell Pl,929000,929000,1030000,,3/12/20,8/24/20,3177,4,2,1,26363,,
72 Forest Ave,1425000,1425000,1425000,,6/11/20,8/17/20,3633,5,3,1,"33,166",,
30 Lorraine St,649000,649000,631500,,6/1/20,8/7/20,1813,4,2,1,"15,903",,
95 Brighton Ave,499900,499900,501000,,6/1/20,8/7/20,1501,4,1,0,"13,443",,
31 Chestnut Hill Pl,665000,665000,695000,,6/3/20,8/6/20,1770,3,2,0,"18,234",,
174 Hawthorne Ave,829000,829000,998680,,6/11/20,8/3/20,2472,5,2,2,"22,413",,
73 Highland Ave,1299000,1299000,1400000,,3/9/20,8/1/20,4873,6,3,1,"35,046",,
116 Stonehouse Rd,675000,675000,816750,,5/16/20,7/30/20,1900,3,3,1,"17,109",,
154 Essex Ave,549000,549000,549000,,6/3/20,7/29/20,1562,3,1,1,"14,797",,
280 Washington St,619000,619000,710000,,5/20/20,7/29/20,1689,4,2,0,"18,744",,
26 Stonehouse Rd,640000,640000,691000,,30-Apr,29-Jul,2148,3,2,2,"17,118",,
386 Forest Ave,729000,729000,841000,,3/11/20,7/29/20,2620,4,2,1,"21,615",,
36 Hamilton Rd,769000,769000,787000,,3/17/20,7/29/20,2716,5,3,2,"22,061",,
189 Sherman Ave,735000,735000,785000,,6/5/20,7/27/20,1700,3,2,0,"17,062",,
538 Ridgewood Ave,1129000,1129000,1401230,,2/21/20,7/24/20,3293,5,3,2,"29,371",,
152 Essex Ave,499000,366700,350000,,9/1/18,7/22/20,1408,4,2,0,"15,059",,
338 Maolis Ave,735000,735000,877600,,5/7/20,7/14/20,2521,4,2,0,"18,058",,
204 Forest Ave,849000,849000,999999,,3/10/20,7/7/20,2762,4,3,1,"29,358",,
7 Highland Ave,1200000,898000,874000,,8/8/19,7/2/20,2860,4,3,2,"28,514",,
89 High St,589000,589000,589000,,3/3/20,6/30/20,1704,4,2,0,"15,449",,
496 Ridgewood Ave,1079000,1079000,1140000,,1/17/20,6/12/20,3313,4,3,2,"31,775",,
238 Baldwin St,539000,539000,621000,,4/11/20,6/12/20,1710,3,3,0,"15,415",,
33 Spencer Rd,599900,599900,705000,,4/17/20,6/10/20,2160,4,3,1,"19,279",,
73 Oxford St,679999,679999,781000,,5/30/20,6/2/20,2208,4,2,1,"23,009",,
83 Douglas Rd,1490000,1490000,1490000,,3/2/20,5/29/20,3280,5,4,1,"34,656",,
507 Ridgewood Ave,969000,969000,1181510,,3/4/20,5/29/20,3286,5,3,0,"29,124",,
61 Clinton Rd,499000,499000,695000,,2/21/20,5/20/20,2356,5,2,1,"17,699",,
38 Woodland Ave,999999,999999,999999,,2/5/20,5/5/20,3876,6,4,1,"30,882",,
9 Winsor Pl,579000,579000,667027,,1/25/20,4/24/20,2400,4,2,1,"17,835",,
584 Ridgewood Ave,629000,629000,639000,,5/15/19,4/23/20,2763,4,2,2,"23,921",,
35 Highland Ave,,,1200000,,,4/23/20,3390,,,,"32,282",,
82 Forest Ave,1199000,1199000,1192000,,2/19/20,4/7/20,3433,5,3,1,"33,148",,
142 Midland Ave,,,745000,,,3/31/20,1999,4,2,1,"16,262",,
14 Clark St,430000,380000,361000,,8/5/19,3/27/20,2234,3,1,0,"13,702",,